dt       epsilon  Nx     Ny     L_infinity_error  L1_error           L2_error          Linfinity_error_X  Linfinity_error_D
0.075    0.08     100.0  100.0  0.163739581749    0.178751268861     0.224805448391    0.0855029602306    0.107981450217
0.05     0.08     100.0  100.0  0.0949182555409   0.100061407192     0.137832512617    0.0486343079978    0.0620956322555
0.025    0.08     100.0  100.0  0.032304116927    0.0332387110945    0.050529887995    0.0162827380442    0.0211051010347
0.01     0.08     100.0  100.0  0.0129068102149   0.00681997864996   0.0112373126501   0.00316092966196   0.00421336770427
0.0075   0.08     100.0  100.0  0.0114062599166   0.00414755375999   0.00722585962085  0.00182423131545   0.00246846768009
0.005    0.08     100.0  100.0  0.0105432276435   0.00213081283793   0.00449743491236  0.000832595102491  0.00114417764805
0.1      0.08     100.0  100.0  0.230349217475    0.260443875097     0.302028041983    0.122617324698     0.153305026495
0.0025   0.08     100.0  100.0  0.00973582793721  0.00087866408858   0.00331769469511  0.000213961596963  0.000298746929202
0.001    0.08     100.0  100.0  0.00975917877611  0.000539348489119  0.00314567319457  3.48218554752e-05  4.90982871618e-05
0.00075  0.08     100.0  100.0  0.00980988668915  0.000511999640157  0.00313474159758  1.96437248217e-05  2.7743032606e-05
0.0005   0.08     100.0  100.0  0.00997592306214  0.000492705446331  0.00313581156762  8.7557956378e-06   1.23863591652e-05
0.00025  0.08     100.0  100.0  0.00971942164776  0.000480730365298  0.00313787981124  2.19530489915e-06  3.11073623904e-06
0.0001   0.08     100.0  100.0  0.00955655989852  0.000478596860569  0.00314277879077  3.51862306631e-07  4.99084851557e-07
7.5e-05  0.08     100.0  100.0  0.00946974256042  0.000478545402061  0.00314426450565  1.97980203499e-07  2.80863761914e-07
5e-05    0.08     100.0  100.0  0.00949374071643  0.000478528207437  0.00314549653605  8.80168439815e-08  1.24885511599e-07
2.5e-05  0.08     100.0  100.0  0.00942268674228  0.000478556245444  0.00314657551192  2.20106259818e-08  3.12356830401e-08
1e-05    0.08     100.0  100.0  0.00947978318651  0.000478618888101  0.00314736528945  3.5223163331e-09   4.99908348051e-09
