dt	epsilon	Nx	Ny	L_infinity_error	L1_error	L2_error	Linfinity_error_X	Linfinity_error_D
0.1	0.08	25.0	25.0	0.230845429195	0.265775631963	0.302713712021	0.139753528477	0.240164314348
0.075	0.08	25.0	25.0	0.164128220335	0.185305979317	0.226013059915	0.0934972520547	0.204729271233
0.05	0.08	25.0	25.0	0.0951294667393	0.106119269928	0.14046177205	0.0511205190671	0.159103584746
0.025	0.08	25.0	25.0	0.0548408653488	0.0389550296152	0.0580299313415	0.0165522540611	0.0963979963902
0.01	0.08	25.0	25.0	0.0417572248385	0.0124803431644	0.0277786845206	0.00308445555724	0.0445572077956
0.0075	0.08	25.0	25.0	0.0408416597522	0.0100617239432	0.025891055162	0.00178009668685	0.0343371145993
0.005	0.08	25.0	25.0	0.0398837837736	0.00855188487812	0.0248639695279	0.000812451672592	0.0235459103237
0.0025	0.08	25.0	25.0	0.0393736921464	0.00777061644598	0.0244839943589	0.000208785106714	0.000298746929202
0.001	0.08	25.0	25.0	0.0388830162206	0.00756972432712	0.0244736833543	3.39793912298e-05	4.90982871618e-05
0.00075	0.08	25.0	25.0	0.0387511898163	0.00755179296792	0.024485289309	1.91684734147e-05	2.7743032606e-05
0.0005	0.08	25.0	25.0	0.0389098983549	0.00754014643009	0.0245050861181	8.54396187226e-06	1.23863591652e-05
0.00025	0.08	25.0	25.0	0.0390783053479	0.00753517617424	0.0245279988769	2.14219268389e-06	3.11073623904e-06
0.0001	0.08	25.0	25.0	0.0390398948163	0.00753428485585	0.0245446177965	3.43349508894e-07	4.99084851557e-07
7.5e-05	0.08	25.0	25.0	0.0389223835083	0.00753430696129	0.0245478761191	1.9319035989e-07	2.80863761914e-07
5e-05	0.08	25.0	25.0	0.0389272111809	0.00753432383313	0.0245510633663	8.58874042488e-08	1.24885511599e-07
2.5e-05	0.08	25.0	25.0	0.0388046229466	0.00753437287147	0.0245541711581	2.14781108408e-08	3.12356830401e-08
1e-05	0.08	25.0	25.0	0.0387443955082	0.00753444138266	0.0245561468784	3.4370991007e-09	4.99908348051e-09
