dt       epsilon  Nx    Ny    L_infinity_error  L1_error          L2_error          Linfinity_error_X  Linfinity_error_D
0.075    0.08     50.0  50.0  0.163831958898    0.179827007175    0.224873067332    0.0855029602306    0.204729271233
0.05     0.08     50.0  50.0  0.0949637157566   0.101035680087    0.137935712783    0.0486343079978    0.159103584746
0.025    0.08     50.0  50.0  0.0377109562367   0.0341447459926   0.0512120120817   0.0162827380442    0.0963979963902
0.01     0.08     50.0  50.0  0.0222525462988   0.00770474313614  0.0136920954486   0.00320462915038   0.0445572077956
0.0075   0.08     50.0  50.0  0.0211084856397   0.00503449627027  0.0104614452273   0.00186266146824   0.0343371145993
0.005    0.08     50.0  50.0  0.0202435437889   0.00308562253126  0.00860234468788  0.000850134959818  0.0235459103237
0.1      0.08     50.0  50.0  0.230498310549    0.261605522953    0.302096449132    0.122617324698     0.240164314348
0.0025   0.08     50.0  50.0  0.0193622216211   0.00198392417584  0.00791414151885  0.000218469017044  0.0121234525769
0.001    0.08     50.0  50.0  0.0190631949077   0.00170399100351  0.00781947709788  3.55554297842e-05  0.00493842252016
0.00075  0.08     50.0  50.0  0.0191137270614   0.00168212011131  0.00781714091803  2.00575491761e-05  0.00371523449822
0.0005   0.08     50.0  50.0  0.019049384087    0.00166702256921  0.00782093020222  8.94024952867e-06  1.23863591652e-05
0.00025  0.08     50.0  50.0  0.0191576660446   0.00165752105912  0.00782535876865  2.24155227033e-06  3.11073623904e-06
0.0001   0.08     50.0  50.0  0.01910089874     0.00165474964098  0.00783040834944  3.59274810695e-07  4.99084851557e-07
7.5e-05  0.08     50.0  50.0  0.0189766807936   0.00165457607882  0.00783216850411  2.02150951647e-07  2.80863761914e-07
5e-05    0.08     50.0  50.0  0.0190035663794   0.00165442587913  0.00783366743523  8.98710500576e-08  1.24885511599e-07
2.5e-05  0.08     50.0  50.0  0.0191339019446   0.00165433960557  0.00783514009323  2.24743126603e-08  3.12356830401e-08
1e-05    0.08     50.0  50.0  0.0192123743381   0.00165434500463  0.00783618693283  3.59651922756e-09  4.99908348051e-09
