dt	epsilon	Nx	Ny	L_infinity_error	L1_error	L2_error	Linfinity_error_X	Linfinity_error_D
0.1	0.08	50.0	50.0	inf	inf	inf	0.619505065387	0.240164314348
0.075	0.08	50.0	50.0	16.9837755989	0.868431275125	1.24100394379	0.504569522179	0.204729271233
0.05	0.08	50.0	50.0	411.552651001	0.591398822557	6.73104962891	0.370845945405	0.159103584746
0.025	0.08	50.0	50.0	0.886982428441	0.0336861147614	0.0910435387516	0.209096562613	0.0963979963902
0.01	0.08	50.0	50.0	0.0765981658118	0.00952271837545	0.0267499722781	0.0914048732085	0.0445572077956
0.0075	0.08	50.0	50.0	0.0439272614558	0.00620660105669	0.0174657141548	0.0668491835222	0.0343371145993
0.005	0.08	50.0	50.0	0.0188756263152	0.00343057688072	0.0100214247507	0.0453337354788	0.0235459103237
0.0025	0.08	50.0	50.0	0.0176872020166	0.00187045980178	0.00740536008882	0.0230718007266	0.0121234525769
0.001	0.08	50.0	50.0	0.0186842855443	0.00166570244262	0.00762663284404	0.00933031135762	0.00493842252016
0.00075	0.08	50.0	50.0	0.018600001396	0.00166277464208	0.00768976427588	0.00671236008857	0.00371523449822
0.0005	0.08	50.0	50.0	0.0187258136855	0.00165784288947	0.00773456743414	1.4424356598e-08	2.04732452103e-08
0.00025	0.08	50.0	50.0	0.0189344678438	0.00165474621161	0.00778454419763	1.81939552313e-09	2.58152155208e-09
0.0001	0.08	50.0	50.0	0.0193038571526	0.00165320483443	0.00781284360459	1.17075238393e-10	1.66084701547e-10
7.5e-05	0.08	50.0	50.0	0.0191697982329	0.00165313294837	0.00781724600009	4.94357887959e-11	7.01281255289e-11
5e-05	0.08	50.0	50.0	0.019058922263	0.00165344968344	0.00782395455425	1.46609391294e-11	2.07969197419e-11
2.5e-05	0.08	50.0	50.0	0.0189938281211	0.00165385108995	0.00783048487535	1.83431048129e-12	2.60191868051e-12
1e-05	0.08	50.0	50.0	0.0191560390817	0.00165414687382	0.00783430750893	1.17461596005e-13	1.66644475996e-13
