dt	epsilon	Nx	Ny	L_infinity_error	L1_error	L2_error	Linfinity_error_X	Linfinity_error_D
0.1	0.08	50.0	50.0	0.0845758308229	0.0224408308381	0.0429100856349	0.240164314348	0.240164314348
0.075	0.08	50.0	50.0	0.0343542700547	0.00897233619555	0.0161574012814	0.204729271233	0.204729271233
0.05	0.08	50.0	50.0	0.0186436495927	0.00413014861075	0.00750509629853	0.159103584746	0.159103584746
0.025	0.08	50.0	50.0	0.0193550404935	0.00232285966406	0.0071555699833	0.0963979963902	0.0963979963902
0.01	0.08	50.0	50.0	0.0190979994492	0.00171737524971	0.0075542779947	0.0445572077956	0.0445572077956
0.0075	0.08	50.0	50.0	0.0193678448614	0.00168428550983	0.00763605633842	0.0341067262869	0.0343371145993
0.005	0.08	50.0	50.0	0.0194545860292	0.00166483512573	0.00770625756931	0.0228377065112	0.0235459103237
0.0025	0.08	50.0	50.0	0.0191489889897	0.00165590852703	0.00776929176352	0.0116973618716	0.0121234525769
0.001	0.08	50.0	50.0	0.0190303140608	0.0016547984903	0.00780042421764	5.7825418943e-08	0.00493842252016
0.00075	0.08	50.0	50.0	0.0190948420084	0.00165476821654	0.00780660881539	2.46152032997e-08	0.00371523449822
0.0005	0.08	50.0	50.0	0.0190408323281	0.0016550415639	0.00781630200634	7.35936561125e-09	6.18296224919e-06
0.00025	0.08	50.0	50.0	0.0191555909748	0.00165456668259	0.00782420745451	9.28263022004e-10	1.55407857205e-06
0.0001	0.08	50.0	50.0	0.0191005421007	0.00165427893182	0.00783022411439	5.97322644861e-11	2.4945941457e-07
7.5e-05	0.08	50.0	50.0	0.0189764807648	0.00165431128548	0.00783206484847	2.52223412224e-11	1.40396826831e-07
5e-05	0.08	50.0	50.0	0.019003481005	0.00165430834488	0.00783362135248	7.48007098438e-12	6.24323595044e-08
2.5e-05	0.08	50.0	50.0	0.0191338806613	0.00165431036702	0.00783512856851	9.35872694534e-13	1.56165407272e-08
1e-05	0.08	50.0	50.0	0.0192123709386	0.00165434032737	0.00783618508844	5.9929385717e-14	2.49945830699e-09
