dt	epsilon	Nx	Ny	L_infinity_error	L1_error	L2_error	Linfinity_error_X	Linfinity_error_D
0.1	0.08	50.0	50.0	0.299876065773	0.216430925561	0.238838581378	0.619505065387	0.240164314348
0.075	0.08	50.0	50.0	3.52398071712	0.277737200274	0.328974188271	0.504569522179	0.204729271233
0.05	0.08	50.0	50.0	4.41978662666	0.435329801006	0.499736742467	0.370845945405	0.159103584746
0.025	0.08	50.0	50.0	0.970978385021	0.383316474333	0.57286326167	0.209096562613	0.0963979963902
0.01	0.08	50.0	50.0	0.0758786333518	0.0107314558355	0.0271730443914	0.0914048732085	0.0445572077956
0.0075	0.08	50.0	50.0	0.0433322977568	0.00660509302382	0.0175211548617	0.0668491835222	0.0343371145993
0.005	0.08	50.0	50.0	0.0185664848608	0.00363851041088	0.00996079663935	0.0453337354788	0.0235459103237
0.0025	0.08	50.0	50.0	0.0176205922405	0.001934129771	0.0073656818095	0.0230718007266	0.0121234525769
0.001	0.08	50.0	50.0	0.0186725766745	0.00168057696053	0.00762003717455	0.00933031135762	0.00493842252016
0.00075	0.08	50.0	50.0	0.0185933136873	0.00167128196086	0.00768610496534	0.00671236008857	0.00371523449822
0.0005	0.08	50.0	50.0	0.0187229741045	0.0016616073161	0.00773297205789	5.86019550086e-06	2.04732452103e-08
0.00025	0.08	50.0	50.0	0.0189337795703	0.00165564132819	0.00778415521722	1.46690667746e-06	2.58152155208e-09
0.0001	0.08	50.0	50.0	0.0193037469218	0.00165334056593	0.00781278248442	2.34882310046e-07	1.66084701547e-10
7.5e-05	0.08	50.0	50.0	0.0191697313182	0.00165320826443	0.00781721173226	1.32137869535e-07	7.01281255289e-11
5e-05	0.08	50.0	50.0	0.0190588927542	0.00165348293052	0.00782393937545	5.87353006232e-08	2.07969197419e-11
2.5e-05	0.08	50.0	50.0	0.0189938210553	0.00165385936704	0.0078304810939	1.46856633521e-08	2.60191868051e-12
1e-05	0.08	50.0	50.0	0.019156037957	0.00165414820137	0.00783430690519	2.3498825108e-09	1.66644475996e-13
